Country Name,Country Code,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SP.POP.1564.TO.ZS,SP.POP.0014.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL,SI.POV.GAPS,SI.POV.UMIC.GP,SH.IMM.MEAS,SH.IMM.IDPT,SG.GEN.PARL.ZS,EN.ATM.CO2E.PC,EN.ATM.METH.KT.CE,EN.ATM.GHGT.KT.CE,SH.H2O.SMDW.ZS,SH.H2O.SMDW.UR.ZS,SH.H2O.BASW.RU.ZS
India,IND,2671595405986.8584,1913.2197327875097,67.2153464001391,26.1123335319891,6.67232006787184,48.3669367857184,51.6330632142815,1396387127,3.4,40.4,89,85,14.3646408839779,1.5760932319164813,697654.6707,3200820.626,NA,NA,90.3973333881507
Indonesia,IDN,1059054842698.482,3895.618152002246,67.5715448629821,25.7189360206748,6.70951911634314,49.6326773130837,50.3673230547554,271857970,0.5,23.7,76,77,20.3478260869565,2.0716589622147183,333994.9095,976487.6772,29.71391557951,34.3392825116386,86.1644375121245
"Iran, Islamic Rep.",IRN,239735486745.7037,2746.419483179556,68.8998686765412,23.9924771617384,7.1076541617204,49.4388963030475,50.5611025513485,87290193,0.2,8.6,99,99,5.59440559440559,7.06335132057733,174641.9705,844649.4679,93.9526610413941,96.1375970471615,93.7270175840406
Iraq,IRQ,180924091442.95303,4251.337252728084,58.1113990374811,38.4857375993296,3.40286336318926,49.9551518970423,50.0448457531671,42556984,NA,NA,76,74,26.4437689969605,3.842177819743993,85916.97036,261289.5283,59.6644621474606,64.6,94.8311467839767
Ireland,IRL,428608687830.2393,85973.08848755006,65.2778471363103,20.1778202263229,14.5443326373668,50.4598049501033,49.5401748320249,4985382,0.1,0.2,92,94,22.5,6.768227590182657,15252.82463,59497.73471,95.8535366790098,NA,97.0392150757802
Isle of Man,IMN,6684229268.505448,79530.6054839665,62.9998036777698,15.1560761730253,21.8441201492049,50.4664112509816,49.5323989243985,84046,NA,NA,NA,NA,NA,NA,NA,NA,99.0297898821784,NA,NA
Israel,ISR,413267669231.52216,44846.79159548156,59.9569831057177,28.2373276039897,11.8056892902926,50.1654983523245,49.8345130664737,9215100,0.3,1.2,99,98,27.5,6.3452160041670735,9801.47314,83664.06603,99.4999577281581,99.508136862961,100
Italy,ITA,1897461635591.9119,31922.919162618266,63.7699228420107,12.8580060780417,23.3720710799476,51.2812858510167,48.718712468327404,59438851,0.7,1.2,92,94,35.7142857142857,4.732372770799354,43888.65304,352128.8891,92.9673571734084,NA,NA
Jamaica,JAM,13812421803.408361,4897.264750346529,72.1242694612233,20.8331833860409,7.04254715273581,50.3740201869498,49.625944357539,2820436,NA,NA,93,96,28.5714285714286,2.0690418077205086,825.92789,7432.636336,NA,NA,85.3999121605272
Japan,JPN,5055587093501.588,40040.76550559229,58.501114304099,11.9157072442963,29.5831784516048,51.3898980572928,48.6101011442706,126261000,NA,NA,98,96,9.89247311827957,8.031495869666802,25783.31233,1094556.256,98.6111758553163,NA,NA
